Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits,ds,y
31,Tuesday,3,2014-10-14,"5,040","3,604","3,217",387,2014-10-14,5040
32,Wednesday,4,2014-10-15,"5,028","3,515","3,094",421,2014-10-15,5028
33,Thursday,5,2014-10-16,"4,658","3,331","2,955",376,2014-10-16,4658
34,Friday,6,2014-10-17,"3,624","2,477","2,148",329,2014-10-17,3624
35,Saturday,7,2014-10-18,"2,285","1,619","1,416",203,2014-10-18,2285
36,Sunday,1,2014-10-19,"3,454","2,346","2,060",286,2014-10-19,3454
37,Monday,2,2014-10-20,"5,307","3,717","3,308",409,2014-10-20,5307
38,Tuesday,3,2014-10-21,"5,135","3,701","3,280",421,2014-10-21,5135
39,Wednesday,4,2014-10-22,"5,084","3,611","3,177",434,2014-10-22,5084
40,Thursday,5,2014-10-23,"4,650","3,316","2,940",376,2014-10-23,4650
41,Friday,6,2014-10-24,"3,571","2,498","2,170",328,2014-10-24,3571
42,Saturday,7,2014-10-25,"2,354","1,661","1,417",244,2014-10-25,2354
43,Sunday,1,2014-10-26,"3,497","2,508","2,218",290,2014-10-26,3497
44,Monday,2,2014-10-27,"5,294","3,737","3,286",451,2014-10-27,5294
45,Tuesday,3,2014-10-28,"4,643","3,328","2,905",423,2014-10-28,4643
46,Wednesday,4,2014-10-29,"4,596","3,279","2,863",416,2014-10-29,4596
47,Thursday,5,2014-10-30,"4,162","3,041","2,657",384,2014-10-30,4162
48,Friday,6,2014-10-31,"2,933","2,007","1,728",279,2014-10-31,2933
49,Saturday,7,2014-11-01,"2,202","1,496","1,270",226,2014-11-01,2202
50,Sunday,1,2014-11-02,"3,083","2,204","1,940",264,2014-11-02,3083
51,Monday,2,2014-11-03,"4,376","3,057","2,629",428,2014-11-03,4376
52,Tuesday,3,2014-11-04,"4,704","3,141","2,739",402,2014-11-04,4704
53,Wednesday,4,2014-11-05,"4,306","3,200","2,797",403,2014-11-05,4306
54,Thursday,5,2014-11-06,"4,178","3,034","2,627",407,2014-11-06,4178
55,Friday,6,2014-11-07,"3,236","2,318","1,975",343,2014-11-07,3236
56,Saturday,7,2014-11-08,"2,010","1,536","1,345",191,2014-11-08,2010
57,Sunday,1,2014-11-09,"2,901","2,141","1,849",292,2014-11-09,2901
58,Monday,2,2014-11-10,"4,754","3,325","2,885",440,2014-11-10,4754
59,Tuesday,3,2014-11-11,"4,417","3,203","2,793",410,2014-11-11,4417
60,Wednesday,4,2014-11-12,"4,535","3,351","2,897",454,2014-11-12,4535
61,Thursday,5,2014-11-13,"4,274","3,194","2,758",436,2014-11-13,4274
62,Friday,6,2014-11-14,"3,382","2,423","2,061",362,2014-11-14,3382
63,Saturday,7,2014-11-15,"2,085","1,488","1,280",208,2014-11-15,2085
64,Sunday,1,2014-11-16,"3,083","2,215","1,926",289,2014-11-16,3083
65,Monday,2,2014-11-17,"4,860","3,559","3,069",490,2014-11-17,4860
66,Tuesday,3,2014-11-18,"4,893","3,570","3,133",437,2014-11-18,4893
67,Wednesday,4,2014-11-19,"4,866","3,544","3,056",488,2014-11-19,4866
68,Thursday,5,2014-11-20,"4,584","3,357","2,899",458,2014-11-20,4584
69,Friday,6,2014-11-21,"3,914","2,750","2,361",389,2014-11-21,3914
70,Saturday,7,2014-11-22,"2,431","1,716","1,463",253,2014-11-22,2431
71,Sunday,1,2014-11-23,"3,157","2,369","2,082",287,2014-11-23,3157
72,Monday,2,2014-11-24,"5,045","3,615","3,146",469,2014-11-24,5045
73,Tuesday,3,2014-11-25,"4,746","3,236","2,821",415,2014-11-25,4746
74,Wednesday,4,2014-11-26,"4,314","2,919","2,513",406,2014-11-26,4314
75,Thursday,5,2014-11-27,"3,663","2,476","2,162",314,2014-11-27,3663
76,Friday,6,2014-11-28,"3,270","2,268","1,931",337,2014-11-28,3270
77,Saturday,7,2014-11-29,"2,905","1,976","1,695",281,2014-11-29,2905
78,Sunday,1,2014-11-30,"4,016","2,832","2,489",343,2014-11-30,4016
79,Monday,2,2014-12-01,"5,266","3,877","3,317",560,2014-12-01,5266
80,Tuesday,3,2014-12-02,"5,795","4,274","3,700",574,2014-12-02,5795
81,Wednesday,4,2014-12-03,"5,728","4,217","3,656",561,2014-12-03,5728
82,Thursday,5,2014-12-04,"5,293","3,830","3,295",535,2014-12-04,5293
83,Friday,6,2014-12-05,"3,934","2,856","2,479",377,2014-12-05,3934
84,Saturday,7,2014-12-06,"3,071","2,165","1,855",310,2014-12-06,3071
85,Sunday,1,2014-12-07,"3,876","2,984","2,582",402,2014-12-07,3876
86,Monday,2,2014-12-08,"5,878","4,375","3,829",546,2014-12-08,5878
87,Tuesday,3,2014-12-09,"5,712","4,187","3,635",552,2014-12-09,5712
88,Wednesday,4,2014-12-10,"5,491","4,074","3,480",594,2014-12-10,5491
89,Thursday,5,2014-12-11,"5,144","3,801","3,247",554,2014-12-11,5144
90,Friday,6,2014-12-12,"3,880","2,860","2,418",442,2014-12-12,3880
91,Saturday,7,2014-12-13,"2,605","1,838","1,538",300,2014-12-13,2605
92,Sunday,1,2014-12-14,"3,625","2,650","2,259",391,2014-12-14,3625
93,Monday,2,2014-12-15,"4,685","3,478","3,000",478,2014-12-15,4685
94,Tuesday,3,2014-12-16,"4,891","3,338","2,861",477,2014-12-16,4891
95,Wednesday,4,2014-12-17,"4,222","3,053","2,606",447,2014-12-17,4222
96,Thursday,5,2014-12-18,"3,691","2,690","2,275",415,2014-12-18,3691
97,Friday,6,2014-12-19,"2,748","1,879","1,559",320,2014-12-19,2748
98,Saturday,7,2014-12-20,"1,380","1,011",836,175,2014-12-20,1380
99,Sunday,1,2014-12-21,"1,474","1,054",876,178,2014-12-21,1474
100,Monday,2,2014-12-22,"2,452","1,715","1,394",321,2014-12-22,2452
101,Tuesday,3,2014-12-23,"2,298","1,440","1,159",281,2014-12-23,2298
102,Wednesday,4,2014-12-24,"1,430",947,772,175,2014-12-24,1430
103,Thursday,5,2014-12-25,"1,002",667,522,145,2014-12-25,1002
104,Friday,6,2014-12-26,"1,486","1,005",808,197,2014-12-26,1486
105,Saturday,7,2014-12-27,"1,345",941,781,160,2014-12-27,1345
106,Sunday,1,2014-12-28,"1,453",948,765,183,2014-12-28,1453
107,Monday,2,2014-12-29,"2,173","1,472","1,228",244,2014-12-29,2173
108,Tuesday,3,2014-12-30,"2,208","1,424","1,172",252,2014-12-30,2208
109,Wednesday,4,2014-12-31,"1,381",955,773,182,2014-12-31,1381
110,Thursday,5,2015-01-01,"1,265",876,715,161,2015-01-01,1265
111,Friday,6,2015-01-02,"1,948","1,288","1,030",258,2015-01-02,1948
112,Saturday,7,2015-01-03,"1,742","1,096",946,150,2015-01-03,1742
113,Sunday,1,2015-01-04,"1,896","1,409","1,186",223,2015-01-04,1896
114,Monday,2,2015-01-05,"3,033","2,062","1,706",356,2015-01-05,3033
115,Tuesday,3,2015-01-06,"3,445","2,327","1,942",385,2015-01-06,3445
116,Wednesday,4,2015-01-07,"3,423","2,384","1,991",393,2015-01-07,3423
117,Thursday,5,2015-01-08,"3,319","2,272","1,922",350,2015-01-08,3319
118,Friday,6,2015-01-09,"2,783","1,941","1,663",278,2015-01-09,2783
119,Saturday,7,2015-01-10,"1,952","1,240","1,066",174,2015-01-10,1952
120,Sunday,1,2015-01-11,"2,245","1,611","1,391",220,2015-01-11,2245
121,Monday,2,2015-01-12,"3,928","2,518","2,125",393,2015-01-12,3928
122,Tuesday,3,2015-01-13,"3,810","2,621","2,239",382,2015-01-13,3810
123,Wednesday,4,2015-01-14,"3,931","2,656","2,229",427,2015-01-14,3931
124,Thursday,5,2015-01-15,"3,523","2,457","2,069",388,2015-01-15,3523
125,Friday,6,2015-01-16,"2,943","1,928","1,640",288,2015-01-16,2943
126,Saturday,7,2015-01-17,"1,751","1,237","1,052",185,2015-01-17,1751
127,Sunday,1,2015-01-18,"2,491","1,762","1,541",221,2015-01-18,2491
128,Monday,2,2015-01-19,"3,766","2,665","2,271",394,2015-01-19,3766
129,Tuesday,3,2015-01-20,"4,194","2,852","2,423",429,2015-01-20,4194
130,Wednesday,4,2015-01-21,"4,038","2,916","2,482",434,2015-01-21,4038
131,Thursday,5,2015-01-22,"3,891","2,702","2,334",368,2015-01-22,3891
132,Friday,6,2015-01-23,"3,111","2,181","1,897",284,2015-01-23,3111
133,Saturday,7,2015-01-24,"1,946","1,414","1,239",175,2015-01-24,1946
134,Sunday,1,2015-01-25,"2,802","2,010","1,740",270,2015-01-25,2802
135,Monday,2,2015-01-26,"3,892","2,841","2,466",375,2015-01-26,3892
136,Tuesday,3,2015-01-27,"4,172","3,003","2,592",411,2015-01-27,4172
137,Wednesday,4,2015-01-28,"4,464","3,280","2,862",418,2015-01-28,4464
138,Thursday,5,2015-01-29,"4,377","3,143","2,679",464,2015-01-29,4377
139,Friday,6,2015-01-30,"3,734","2,514","2,129",385,2015-01-30,3734
140,Saturday,7,2015-01-31,"2,262","1,657","1,443",214,2015-01-31,2262
141,Sunday,1,2015-02-01,"3,050","2,122","1,825",297,2015-02-01,3050
142,Monday,2,2015-02-02,"4,794","3,366","2,867",499,2015-02-02,4794
143,Tuesday,3,2015-02-03,"4,936","3,423","2,922",501,2015-02-03,4936
144,Wednesday,4,2015-02-04,"5,016","3,500","3,023",477,2015-02-04,5016
145,Thursday,5,2015-02-05,"4,489","3,170","2,753",417,2015-02-05,4489
146,Friday,6,2015-02-06,"3,505","2,468","2,075",393,2015-02-06,3505
147,Saturday,7,2015-02-07,"2,264","1,679","1,437",242,2015-02-07,2264
148,Sunday,1,2015-02-08,"3,314","2,435","2,100",335,2015-02-08,3314
149,Monday,2,2015-02-09,"5,095","3,619","3,125",494,2015-02-09,5095
150,Tuesday,3,2015-02-10,"5,525","3,793","3,272",521,2015-02-10,5525
151,Wednesday,4,2015-02-11,"5,074","3,689","3,190",499,2015-02-11,5074
152,Thursday,5,2015-02-12,"4,571","3,319","2,810",509,2015-02-12,4571
153,Friday,6,2015-02-13,"3,570","2,664","2,253",411,2015-02-13,3570
154,Saturday,7,2015-02-14,"2,182","1,565","1,323",242,2015-02-14,2182
155,Sunday,1,2015-02-15,"3,265","2,277","1,935",342,2015-02-15,3265
156,Monday,2,2015-02-16,"4,670","3,297","2,826",471,2015-02-16,4670
157,Tuesday,3,2015-02-17,"4,764","3,452","2,957",495,2015-02-17,4764
158,Wednesday,4,2015-02-18,"4,943","3,526","3,026",500,2015-02-18,4943
159,Thursday,5,2015-02-19,"4,790","3,307","2,811",496,2015-02-19,4790
160,Friday,6,2015-02-20,"3,604","2,621","2,241",380,2015-02-20,3604
161,Saturday,7,2015-02-21,"2,455","1,823","1,569",254,2015-02-21,2455
162,Sunday,1,2015-02-22,"3,650","2,690","2,329",361,2015-02-22,3650
163,Monday,2,2015-02-23,"5,463","3,975","3,433",542,2015-02-23,5463
164,Tuesday,3,2015-02-24,"5,884","4,112","3,542",570,2015-02-24,5884
165,Wednesday,4,2015-02-25,"5,615","4,019","3,432",587,2015-02-25,5615
166,Thursday,5,2015-02-26,"5,289","3,747","3,186",561,2015-02-26,5289
167,Friday,6,2015-02-27,"4,434","2,969","2,486",483,2015-02-27,4434
168,Saturday,7,2015-02-28,"2,665","1,977","1,694",283,2015-02-28,2665
169,Sunday,1,2015-03-01,"3,907","2,906","2,519",387,2015-03-01,3907
170,Monday,2,2015-03-02,"5,308","3,778","3,222",556,2015-03-02,5308
171,Tuesday,3,2015-03-03,"5,773","4,025","3,490",535,2015-03-03,5773
172,Wednesday,4,2015-03-04,"5,585","4,060","3,457",603,2015-03-04,5585
173,Thursday,5,2015-03-05,"4,783","3,582","3,049",533,2015-03-05,4783
174,Friday,6,2015-03-06,"3,893","2,707","2,259",448,2015-03-06,3893
175,Saturday,7,2015-03-07,"2,917","2,048","1,723",325,2015-03-07,2917
176,Sunday,1,2015-03-08,"3,353","2,468","2,104",364,2015-03-08,3353
177,Monday,2,2015-03-09,"5,400","3,824","3,246",578,2015-03-09,5400
178,Tuesday,3,2015-03-10,"5,395","3,926","3,350",576,2015-03-10,5395
179,Wednesday,4,2015-03-11,"5,229","3,859","3,263",596,2015-03-11,5229
180,Thursday,5,2015-03-12,"5,371","3,784","3,204",580,2015-03-12,5371
181,Friday,6,2015-03-13,"4,185","3,045","2,559",486,2015-03-13,4185
182,Saturday,7,2015-03-14,"2,724","1,988","1,675",313,2015-03-14,2724
183,Sunday,1,2015-03-15,"3,590","2,620","2,196",424,2015-03-15,3590
184,Monday,2,2015-03-16,"5,367","3,771","3,192",579,2015-03-16,5367
185,Tuesday,3,2015-03-17,"5,440","3,968","3,387",581,2015-03-17,5440
186,Wednesday,4,2015-03-18,"5,465","4,043","3,458",585,2015-03-18,5465
187,Thursday,5,2015-03-19,"5,318","3,813","3,262",551,2015-03-19,5318
188,Friday,6,2015-03-20,"4,225","2,916","2,462",454,2015-03-20,4225
189,Saturday,7,2015-03-21,"2,687","1,975","1,667",308,2015-03-21,2687
190,Sunday,1,2015-03-22,"3,791","2,786","2,388",398,2015-03-22,3791
191,Monday,2,2015-03-23,"5,661","3,949","3,331",618,2015-03-23,5661
192,Tuesday,3,2015-03-24,"5,759","4,081","3,487",594,2015-03-24,5759
193,Wednesday,4,2015-03-25,"5,599","3,983","3,378",605,2015-03-25,5599
194,Thursday,5,2015-03-26,"5,103","3,755","3,184",571,2015-03-26,5103
195,Friday,6,2015-03-27,"4,313","2,946","2,446",500,2015-03-27,4313
196,Saturday,7,2015-03-28,"2,971","2,011","1,651",360,2015-03-28,2971
197,Sunday,1,2015-03-29,"3,662","2,693","2,285",408,2015-03-29,3662
198,Monday,2,2015-03-30,"5,635","3,985","3,386",599,2015-03-30,5635
199,Tuesday,3,2015-03-31,"5,581","3,963","3,359",604,2015-03-31,5581
200,Wednesday,4,2015-04-01,"5,329","3,761","3,170",591,2015-04-01,5329
201,Thursday,5,2015-04-02,"4,553","3,214","2,710",504,2015-04-02,4553
202,Friday,6,2015-04-03,"3,423","2,404","1,988",416,2015-04-03,3423
203,Saturday,7,2015-04-04,"2,708","1,807","1,512",295,2015-04-04,2708
204,Sunday,1,2015-04-05,"3,306","2,266","1,895",371,2015-04-05,3306
205,Monday,2,2015-04-06,"5,203","3,692","3,133",559,2015-04-06,5203
206,Tuesday,3,2015-04-07,"5,712","4,104","3,456",648,2015-04-07,5712
207,Wednesday,4,2015-04-08,"5,601","4,015","3,401",614,2015-04-08,5601
208,Thursday,5,2015-04-09,"5,486","4,063","3,430",633,2015-04-09,5486
209,Friday,6,2015-04-10,"4,178","3,213","2,697",516,2015-04-10,4178
210,Saturday,7,2015-04-11,"2,878","2,153","1,835",318,2015-04-11,2878
211,Sunday,1,2015-04-12,"4,169","2,903","2,447",456,2015-04-12,4169
212,Monday,2,2015-04-13,"6,372","4,485","3,787",698,2015-04-13,6372
213,Tuesday,3,2015-04-14,"6,240","4,391","3,698",693,2015-04-14,6240
214,Wednesday,4,2015-04-15,"6,170","4,409","3,723",686,2015-04-15,6170
215,Thursday,5,2015-04-16,"6,071","4,275","3,586",689,2015-04-16,6071
216,Friday,6,2015-04-17,"4,682","3,307","2,741",566,2015-04-17,4682
217,Saturday,7,2015-04-18,"3,208","2,291","1,894",397,2015-04-18,3208
218,Sunday,1,2015-04-19,"4,310","3,144","2,669",475,2015-04-19,4310
219,Monday,2,2015-04-20,"6,435","4,694","3,929",765,2015-04-20,6435
220,Tuesday,3,2015-04-21,"6,299","4,455","3,769",686,2015-04-21,6299
221,Wednesday,4,2015-04-22,"6,360","4,512","3,797",715,2015-04-22,6360
222,Thursday,5,2015-04-23,"6,349","4,360","3,664",696,2015-04-23,6349
223,Friday,6,2015-04-24,"4,660","3,387","2,845",542,2015-04-24,4660
224,Saturday,7,2015-04-25,"3,354","2,420","2,035",385,2015-04-25,3354
225,Sunday,1,2015-04-26,"4,371","3,189","2,688",501,2015-04-26,4371
226,Monday,2,2015-04-27,"6,534","4,731","3,977",754,2015-04-27,6534
227,Tuesday,3,2015-04-28,"6,832","4,941","4,161",780,2015-04-28,6832
228,Wednesday,4,2015-04-29,"6,689","4,870","4,110",760,2015-04-29,6689
229,Thursday,5,2015-04-30,"5,849","4,086","3,450",636,2015-04-30,5849
230,Friday,6,2015-05-01,"4,247","3,064","2,562",502,2015-05-01,4247
231,Saturday,7,2015-05-02,"3,219","2,360","1,958",402,2015-05-02,3219
232,Sunday,1,2015-05-03,"4,211","3,210","2,765",445,2015-05-03,4211
233,Monday,2,2015-05-04,"6,424","4,752","4,043",709,2015-05-04,6424
234,Tuesday,3,2015-05-05,"6,223","4,520","3,818",702,2015-05-05,6223
235,Wednesday,4,2015-05-06,"6,551","4,768","4,059",709,2015-05-06,6551
236,Thursday,5,2015-05-07,"6,343","4,449","3,770",679,2015-05-07,6343
237,Friday,6,2015-05-08,"4,696","3,366","2,824",542,2015-05-08,4696
238,Saturday,7,2015-05-09,"3,134","2,239","1,846",393,2015-05-09,3134
239,Sunday,1,2015-05-10,"3,868","2,844","2,365",479,2015-05-10,3868
240,Monday,2,2015-05-11,"6,020","4,482","3,787",695,2015-05-11,6020
241,Tuesday,3,2015-05-12,"5,705","4,160","3,490",670,2015-05-12,5705
242,Wednesday,4,2015-05-13,"5,752","4,016","3,348",668,2015-05-13,5752
243,Thursday,5,2015-05-14,"5,181","3,605","3,008",597,2015-05-14,5181
244,Friday,6,2015-05-15,"4,269","2,913","2,404",509,2015-05-15,4269
245,Saturday,7,2015-05-16,"2,633","1,818","1,473",345,2015-05-16,2633
246,Sunday,1,2015-05-17,"3,336","2,376","1,988",388,2015-05-17,3336
247,Monday,2,2015-05-18,"5,127","3,587","2,955",632,2015-05-18,5127
248,Tuesday,3,2015-05-19,"5,449","3,767","3,149",618,2015-05-19,5449
249,Wednesday,4,2015-05-20,"5,746","3,956","3,371",585,2015-05-20,5746
250,Thursday,5,2015-05-21,"5,115","3,642","3,046",596,2015-05-21,5115
251,Friday,6,2015-05-22,"3,995","2,749","2,243",506,2015-05-22,3995
252,Saturday,7,2015-05-23,"2,618","1,884","1,585",299,2015-05-23,2618
253,Sunday,1,2015-05-24,"2,961","2,117","1,763",354,2015-05-24,2961
254,Monday,2,2015-05-25,"4,090","2,913","2,427",486,2015-05-25,4090
255,Tuesday,3,2015-05-26,"5,201","3,637","3,073",564,2015-05-26,5201
256,Wednesday,4,2015-05-27,"5,321","3,797","3,146",651,2015-05-27,5321
257,Thursday,5,2015-05-28,"5,219","3,509","2,887",622,2015-05-28,5219
258,Friday,6,2015-05-29,"4,017","2,804","2,338",466,2015-05-29,4017
259,Saturday,7,2015-05-30,"2,297","1,629","1,346",283,2015-05-30,2297
260,Sunday,1,2015-05-31,"3,145","2,226","1,860",366,2015-05-31,3145
261,Monday,2,2015-06-01,"4,905","3,419","2,797",622,2015-06-01,4905
262,Tuesday,3,2015-06-02,"4,747","3,284","2,701",583,2015-06-02,4747
263,Wednesday,4,2015-06-03,"4,591","3,317","2,713",604,2015-06-03,4591
264,Thursday,5,2015-06-04,"4,431","3,173","2,652",521,2015-06-04,4431
265,Friday,6,2015-06-05,"3,608","2,523","2,068",455,2015-06-05,3608
266,Saturday,7,2015-06-06,"2,422","1,673","1,336",337,2015-06-06,2422
267,Sunday,1,2015-06-07,"3,132","2,145","1,790",355,2015-06-07,3132
268,Monday,2,2015-06-08,"4,962","3,377","2,788",589,2015-06-08,4962
269,Tuesday,3,2015-06-09,"4,881","3,469","2,862",607,2015-06-09,4881
270,Wednesday,4,2015-06-10,"5,001","3,425","2,786",639,2015-06-10,5001
271,Thursday,5,2015-06-11,"4,635","3,242","2,614",628,2015-06-11,4635
272,Friday,6,2015-06-12,"3,545","2,494","2,066",428,2015-06-12,3545
273,Saturday,7,2015-06-13,"2,262","1,490","1,235",255,2015-06-13,2262
274,Sunday,1,2015-06-14,"2,866","2,034","1,692",342,2015-06-14,2866
275,Monday,2,2015-06-15,"4,692","3,261","2,682",579,2015-06-15,4692
276,Tuesday,3,2015-06-16,"4,602","3,204","2,660",544,2015-06-16,4602
277,Wednesday,4,2015-06-17,"4,620","3,101","2,556",545,2015-06-17,4620
278,Thursday,5,2015-06-18,"4,475","2,955","2,386",569,2015-06-18,4475
279,Friday,6,2015-06-19,"3,564","2,422","1,954",468,2015-06-19,3564
280,Saturday,7,2015-06-20,"2,071","1,370","1,129",241,2015-06-20,2071
281,Sunday,1,2015-06-21,"2,659","1,840","1,523",317,2015-06-21,2659
282,Monday,2,2015-06-22,"4,338","2,963","2,410",553,2015-06-22,4338
283,Tuesday,3,2015-06-23,"4,531","3,139","2,566",573,2015-06-23,4531
284,Wednesday,4,2015-06-24,"4,498","3,022","2,481",541,2015-06-24,4498
285,Thursday,5,2015-06-25,"4,128","2,730","2,210",520,2015-06-25,4128
286,Friday,6,2015-06-26,"3,132","2,153","1,721",432,2015-06-26,3132
287,Saturday,7,2015-06-27,"1,829","1,264","1,067",197,2015-06-27,1829
288,Sunday,1,2015-06-28,"2,149","1,517","1,224",293,2015-06-28,2149
289,Monday,2,2015-06-29,"3,975","2,691","2,169",522,2015-06-29,3975
290,Tuesday,3,2015-06-30,"4,046","2,718","2,180",538,2015-06-30,4046
291,Wednesday,4,2015-07-01,"3,897","2,745","2,266",479,2015-07-01,3897
292,Thursday,5,2015-07-02,"3,871","2,540","2,072",468,2015-07-02,3871
293,Friday,6,2015-07-03,"2,630","1,716","1,353",363,2015-07-03,2630
294,Saturday,7,2015-07-04,"1,602","1,104",900,204,2015-07-04,1602
295,Sunday,1,2015-07-05,"1,960","1,370","1,141",229,2015-07-05,1960
296,Monday,2,2015-07-06,"4,143","2,655","2,171",484,2015-07-06,4143
297,Tuesday,3,2015-07-07,"4,205","2,789","2,266",523,2015-07-07,4205
298,Wednesday,4,2015-07-08,"4,193","2,783","2,255",528,2015-07-08,4193
299,Thursday,5,2015-07-09,"3,710","2,536","2,069",467,2015-07-09,3710
300,Friday,6,2015-07-10,"3,137","2,203","1,767",436,2015-07-10,3137
301,Saturday,7,2015-07-11,"1,834","1,145",944,201,2015-07-11,1834
302,Sunday,1,2015-07-12,"2,070","1,473","1,197",276,2015-07-12,2070
303,Monday,2,2015-07-13,"4,180","2,852","2,310",542,2015-07-13,4180
304,Tuesday,3,2015-07-14,"4,038","2,731","2,226",505,2015-07-14,4038
305,Wednesday,4,2015-07-15,"3,906","2,667","2,119",548,2015-07-15,3906
306,Thursday,5,2015-07-16,"3,580","2,424","1,940",484,2015-07-16,3580
307,Friday,6,2015-07-17,"2,948","2,070","1,708",362,2015-07-17,2948
308,Saturday,7,2015-07-18,"1,622","1,121",924,197,2015-07-18,1622
309,Sunday,1,2015-07-19,"2,179","1,480","1,214",266,2015-07-19,2179
310,Monday,2,2015-07-20,"3,906","2,615","2,146",469,2015-07-20,3906
311,Tuesday,3,2015-07-21,"3,745","2,596","2,071",525,2015-07-21,3745
312,Wednesday,4,2015-07-22,"4,212","2,761","2,205",556,2015-07-22,4212
313,Thursday,5,2015-07-23,"3,901","2,595","2,095",500,2015-07-23,3901
314,Friday,6,2015-07-24,"3,292","2,207","1,785",422,2015-07-24,3292
315,Saturday,7,2015-07-25,"1,819","1,229","1,016",213,2015-07-25,1819
316,Sunday,1,2015-07-26,"2,068","1,562","1,286",276,2015-07-26,2068
317,Monday,2,2015-07-27,"3,991","2,805","2,243",562,2015-07-27,3991
318,Tuesday,3,2015-07-28,"4,073","2,862","2,361",501,2015-07-28,4073
319,Wednesday,4,2015-07-29,"4,069","2,825","2,324",501,2015-07-29,4069
320,Thursday,5,2015-07-30,"3,716","2,629","2,126",503,2015-07-30,3716
321,Friday,6,2015-07-31,"3,380","2,120","1,709",411,2015-07-31,3380
322,Saturday,7,2015-08-01,"1,737","1,197",958,239,2015-08-01,1737
323,Sunday,1,2015-08-02,"2,181","1,567","1,282",285,2015-08-02,2181
324,Monday,2,2015-08-03,"3,973","2,794","2,263",531,2015-08-03,3973
325,Tuesday,3,2015-08-04,"3,997","2,794","2,269",525,2015-08-04,3997
326,Wednesday,4,2015-08-05,"4,132","2,798","2,287",511,2015-08-05,4132
327,Thursday,5,2015-08-06,"3,791","2,693","2,204",489,2015-08-06,3791
328,Friday,6,2015-08-07,"2,968","2,139","1,738",401,2015-08-07,2968
329,Saturday,7,2015-08-08,"1,752","1,266","1,021",245,2015-08-08,1752
330,Sunday,1,2015-08-09,"2,070","1,497","1,231",266,2015-08-09,2070
331,Monday,2,2015-08-10,"3,920","2,684","2,139",545,2015-08-10,3920
332,Tuesday,3,2015-08-11,"4,106","2,791","2,266",525,2015-08-11,4106
333,Wednesday,4,2015-08-12,"4,006","2,726","2,166",560,2015-08-12,4006
334,Thursday,5,2015-08-13,"3,827","2,639","2,133",506,2015-08-13,3827
335,Friday,6,2015-08-14,"2,944","1,973","1,564",409,2015-08-14,2944
336,Saturday,7,2015-08-15,"1,827","1,193",954,239,2015-08-15,1827
337,Sunday,1,2015-08-16,"2,373","1,658","1,369",289,2015-08-16,2373
338,Monday,2,2015-08-17,"4,031","2,763","2,290",473,2015-08-17,4031
339,Tuesday,3,2015-08-18,"4,027","2,780","2,248",532,2015-08-18,4027
